,train,val,test
15,TCGA-A2-A04U-01A-01-TSA.d9c6a9aa-23c9-43d8-a59d-d5d4b474cbb6,TCGA-AO-A0J6-01A-01-BSA.094c1ad0-5cd5-4b13-af5e-9c7d3688aa23,01BR015-ab0986a3-3894-4b82-90de-77df10
16,TCGA-A2-A04W-01A-03-BSC.57907e35-3c5d-4b06-8732-4d5ff94b2985,TCGA-AO-A0J6-01A-01-TSA.d62f4c33-ae94-4321-b833-53663942e846,01BR015-cbc186aa-f67c-4c0b-a011-7cfe3a
17,TCGA-A2-A04W-01A-03-TSC.83981bb3-9dfd-4632-91c0-00068ad599f3,TCGA-AR-A24U-01A-01-TSA.e0a5c6e6-f748-47c5-8ede-f526fef07b4f,01BR015-d2f462c3-78f9-4e62-896e-feeb89
18,TCGA-A2-A0D0-01A-01-BSA.de3699b8-cd5b-4bac-af17-b63d447c55e7,TCGA-B6-A0RN-01A-01-BSA.26f2aa2a-22e4-4f74-b546-0b9ac4dde26f,01BR015-f5e22727-85d9-44c4-8143-141fa7
19,TCGA-A2-A0D0-01A-01-TSA.231084a7-765a-481e-9e40-2c9b131b38ea,TCGA-B6-A0RN-01A-01-TSA.39e1a0a2-1727-41b8-817d-3242d296d382,01BR017-09659708-7747-4d59-a3b9-e221e0
20,TCGA-A2-A0D1-01A-01-MSA.3bc9e5b7-75ab-4eea-8c50-7f67dd11b2c7,TCGA-B6-A0X1-01A-01-BSA.36508b6e-a0fc-4492-a094-eb2b438156a8,01BR017-0c7c8dfb-ef95-4fee-a695-63b786
21,TCGA-A2-A0D1-01A-01-TSA.4cf43b24-cdea-4eb2-8413-677057458810,TCGA-B6-A0X1-01A-01-TSA.ef7ede26-0d48-4e52-b2b3-4cd3c4a522c9,01BR018-372816b0-b5d0-437a-bad7-4720f4
22,TCGA-A2-A0D2-01A-02-BSB.8b0210e1-3e64-4e14-8a7f-785bc507f7d8,TCGA-B6-A3ZX-01A-01-TS1.68F70986-83F0-4B65-AFF5-496B0C60270F,01BR018-b617ca44-7efc-44b7-8198-177cf0
23,TCGA-A2-A0D2-01A-02-TSB.74de3ac3-3f96-4426-b6b0-228282978570,TCGA-BH-A0AV-01A-03-BSC.7a107632-b8d8-4b82-ab74-628fff0f10de,01BR018-d154d194-2b08-46d4-a199-84cfb8
24,TCGA-A2-A0EQ-01A-01-BSA.fa7a323e-2939-4941-a56f-3b7352b16050,TCGA-BH-A0AV-01A-03-MSC.f769a3c4-ee58-45c2-931e-d94b31981169,01BR018-ff622e7e-eaaa-4118-98a8-888e03
25,TCGA-A2-A0EQ-01A-01-TSA.c64d0ac8-9849-47c7-86e1-2e2037b02422,TCGA-BH-A0WA-01A-01-BS1.cdb31cb5-f9cf-4089-a6df-c1eb98207e39,01BR020-3fd68501-514a-4a30-9ce1-2fca26
26,TCGA-A2-A0ST-01A-01-BSA.187f1dfd-47df-4e31-883c-62534d8e0dd5,TCGA-BH-A0WA-01A-01-TS1.432bea0e-7c43-4b34-bee7-3ee094e87c40,01BR020-7fb8fff9-3bad-4380-9cd8-87424a
27,TCGA-A2-A0ST-01A-01-TSA.8e2979c6-24f8-4dcf-8439-1da07dbc6a9b,TCGA-BH-A1F0-01A-01-TSA.e1fa751d-d255-48c2-af85-826f04050f75,01BR020-ae39e0b3-ea37-47e0-a0bc-94be4e
28,TCGA-A2-A0T0-01A-02-BSB.dc5e2a55-4bc6-4655-b86e-5aeb369f05c9,TCGA-BH-A1F6-01A-01-TSA.47a8cf12-b12a-4e68-b848-66b2c3ca7c7d,01BR020-f13b2dff-9f46-4c80-aaad-611a77
29,TCGA-A2-A0T0-01A-02-TSB.802f97da-e482-4c7a-aa5e-a692871ad1ea,TCGA-C8-A134-01A-01-BSA.f8e29c16-ea94-4398-8e3b-c50294afc3e8,01BR020-f594968c-3bc6-4d05-9499-99a6ad
30,TCGA-A2-A0T1-01A-02-BSB.3bba2447-a52a-4ed3-88b5-c91124ecbcac,TCGA-C8-A134-01A-01-TSA.76591f60-9e71-495f-beca-e4b91ef3dd68,01BR023-7aa930f5-4933-4cea-9f24-a132f7
31,TCGA-A2-A0T1-01A-02-TSB.63e971bf-39ec-41c9-986e-a1937437dea8,TCGA-C8-A27B-01A-01-TSA.b93af347-1b83-4284-afaf-b3c14d8e038b,01BR023-87192ab5-9b6a-405d-8dbd-9daf7e
32,TCGA-A2-A0YM-01A-01-BSA.26fc4cb8-24ef-494a-9334-db3a9099199f,TCGA-C8-A3M7-01A-01-TS1.677A5F7E-ED18-477D-9CB7-315A4C0E2672,01BR023-c875a9a4-035f-425a-9348-26129c
33,TCGA-A2-A0YM-01A-01-TSA.af2a6b3d-dbf4-4323-aebe-d8b95053fff3,TCGA-D8-A1JF-01A-01-TS1.717683b4-e835-445c-9878-9d3f319792ff,01BR023-d57e2812-f7df-454f-b392-5dd75f
34,TCGA-A2-A1G1-01A-02-TSB.084536c6-00fe-428c-b744-47d391f0a0ef,TCGA-D8-A27H-01A-01-TS1.4e0e757d-3ec9-4137-86f6-ac46e2f83bcb,01BR023-ff090d2c-4e0e-4d86-8412-f5e392
35,TCGA-A2-A1G6-01A-01-TSA.da860c75-25a5-4542-b546-e14c8beb8649,TCGA-E2-A1LE-01A-01-TSA.3D0F1C87-1DDC-4BF0-A586-401299A7286D,01BR025-6bff7669-f33e-49b3-9567-0c397e
36,TCGA-A2-A25F-01A-01-TSA.3c7665d4-4d6f-4540-9d4c-d57378c1849e,TCGA-E2-A1LI-01A-01-TS1.fbca9d73-aac9-43ba-82cc-7eb527c4904e,01BR025-8592b456-77df-4bb5-989a-304771
37,TCGA-A2-A3XS-01A-01-TS1.AFFAE37C-A13F-45C6-A323-025B310C46E0,TCGA-E2-A573-01A-01-TS1.E5F5ABA4-595A-41C0-B686-A96DA9901AED,01BR025-8d33866a-54b1-4fba-ae84-ef4324
38,TCGA-A2-A3XU-01A-01-TSA.9E569A13-1F17-44E2-9D19-31D8FB19ED4A,TCGA-EW-A1P1-01A-03-TSC.8fd02727-ac5a-449b-9cd7-628e3dda1c3c,01BR025-a93bcee2-8d3b-4665-90c7-0119aa
39,TCGA-A2-A3XX-01A-02-TSB.01B489E3-2FE7-4ED4-AF28-04850E1FD9FF,TCGA-EW-A1P7-01A-02-TSB.5628be59-b3f9-493a-9e68-053187bbb7d3,01BR025-bc811591-bfa9-424d-bb69-895fdd
40,TCGA-A2-A3XY-01A-01-TSA.6437CD74-9C3D-481E-923E-00A8681EC078,TCGA-EW-A1PB-01A-01-TSA.9f19b5e5-46d1-448b-b528-a431ba527adb,01BR025-d6d42051-ad8e-4fb2-8cfc-829353
41,TCGA-A2-A3XZ-01A-04-TSD.F4F20F43-4A8B-4697-A46A-E43250604983,TCGA-EW-A3U0-01A-01-TSA.28E10343-61CE-416D-92FF-9763AE47C3F2,01BR026-0f9b1f0c-742d-453d-9232-c7cc0c
42,TCGA-A7-A0DA-01A-03-TS3.fec083e6-27fd-41ee-b44b-7bb1f9ec2d12,TCGA-LD-A9QF-01A-03-TSC.0AFA2BBA-FB74-4AE8-84AD-AE65522E5EC9,01BR026-58a48d14-52ae-42b3-9d12-6bc844
43,TCGA-A7-A13D-01A-01-BS1.3182c3e9-b439-4e20-9445-207142d22dba,TCGA-LL-A6FR-01A-01-TS1.D3973C8B-51A5-4729-8257-4A4BEAAF8B85,01BR026-884659ef-cce7-4b4a-b28b-0e1f49
44,TCGA-A7-A13D-01A-01-TS1.e486c65b-370b-41df-8cd9-bcadaf1f88bd,TCGA-LL-A73Y-01A-01-TS1.367F9DD6-DA45-488A-B2CF-9252BCF50251,01BR027-64ee175f-f3ce-446e-bbf4-9b6fa8
45,TCGA-A7-A26F-01A-02-TSB.3605e414-b036-4800-89b3-cb7db712c258,TCGA-OL-A66I-01A-02-TS2.E1A6C9D3-79DB-4585-9879-1AB340415E37,01BR027-0ad3c4d2-928f-435e-aca3-b5587a
46,TCGA-A7-A26G-01A-02-TSB.3260508e-32e6-47f3-b43b-91ec7056b27c,TCGA-OL-A6VO-01A-01-TSA.1654A5EF-A6C0-47C6-BD01-56A52F368F2A,01BR027-1990853a-0e82-40b3-a025-91cdc1
47,TCGA-A7-A26I-01A-01-TSA.2fd782cc-a69a-4c7d-92a3-50f0c6351968,TCGA-3C-AALI-01A-01-TSA.7D4960A7-247F-46EE-8D4A-B55170C23EAA,01BR027-1ee8127a-ff87-49fe-a2f4-398d08
48,TCGA-A7-A4SD-01A-01-TS1.1FF59A1D-351F-4F25-B843-667F387A2C04,TCGA-A1-A0SN-01A-01-BS1.aae55eae-a830-45ec-afd5-8413b7d7bb87,01BR027-ba7369f0-13fd-47be-b680-ecc260
49,TCGA-A7-A4SE-01A-01-TSA.E85740C0-F763-4776-A6BB-847C10CCA21C,TCGA-A1-A0SN-01A-01-TS1.ae0aafc3-dbcf-4e93-b817-974263ade19a,01BR027-be05f040-6265-45bf-98bd-c93df2
50,TCGA-A7-A5ZV-01A-01-TS1.7D506802-D2B5-4BFB-AB73-B62C87558D9B,TCGA-A1-A0SQ-01A-02-BSB.056c6d49-2f06-4e83-82f9-a465b230b32f,01BR027-c8c553f4-d32e-4363-b3b4-754b8e
51,TCGA-A7-A6VV-01A-02-TS2.B2C40F30-C888-4D29-8972-90912466A8B7,TCGA-A1-A0SQ-01A-02-TSB.aa40d19e-8dcf-4fea-a7f1-4e2edbbd026e,01BR030-1f5a9aad-61a1-4a64-a9b0-38cd2b
52,TCGA-A7-A6VW-01A-02-TS2.4A09D2AC-A574-40F1-9247-2729EFD0EDAA,TCGA-A2-A04V-01A-02-BS2.8ae4acb0-5c0d-4a98-b0d3-3342c97245a8,01BR030-6e598525-34d9-4355-af70-e56f92
53,TCGA-A7-A6VY-01A-01-TS1.4B42F3E6-561C-47FF-A124-DE2462E1667B,TCGA-A2-A04V-01A-02-MS2.9f2d5cc6-ef65-4465-bec7-4d7151ad39f1,01BR030-cd28e2a2-dfc4-4176-a77c-388162
54,TCGA-A8-A07C-01A-01-BS1.eadc6878-4240-45b2-b1a1-b1ea9fabf910,TCGA-A2-A0CK-01A-01-BSA.B3E07E98-6D91-4689-BE68-83043CA49FC3,01BR030-e9ac0447-658b-4d4f-a6b5-f0e546
55,TCGA-A8-A07C-01A-01-TS1.7dee31cc-5d71-4358-b225-6010ad89c170,TCGA-A2-A0CK-01A-01-TSA.0F00A193-4045-4462-B2B2-A76B40A4EFB9,01BR030-f3cf4b6c-c7bc-42cb-a005-99e924
56,TCGA-A8-A07O-01A-01-BS1.073882c6-14ca-4b97-8992-fbfe1e9479c7,TCGA-A2-A0ER-01A-02-MSB.cf3ea42a-aeda-47d6-ab60-a6d0f4b83170,01BR031-223a7222-d281-4bc3-865b-f774e2
57,TCGA-A8-A07O-01A-01-TS1.19908799-8b6d-43fb-8555-2db3071f0d31,TCGA-A2-A0ER-01A-02-TSB.fc92d268-4fa2-4784-9639-ee1ace7797d3,01BR031-88b01079-a734-48dc-beb6-a7e01e
58,TCGA-A8-A07R-01A-01-BS1.12d7cbf6-6c9e-43b0-b386-4ba1a0a29e04,TCGA-A2-A0ES-01A-01-BSA.b0f78d87-bc17-441f-bb40-6028b6e64099,01BR031-96c52a27-3d9a-49e7-8ae8-a71e7c
59,TCGA-A8-A07R-01A-02-BS2.b6186fb0-2c74-487c-8d80-1fbc33600982,TCGA-A2-A0ES-01A-01-TSA.9e47cc5c-6fcd-4515-ac20-1d81d3c58100,01BR031-9a7a5a9a-f268-4cb6-bf68-73ee90
60,TCGA-A8-A08R-01A-01-BS1.7d1f1daf-4f4f-4126-8b13-3febf866f042,TCGA-A2-A0EW-01A-02-BSB.09a14d8c-2c79-43e9-b08c-73481d3ec01c,01BR032-05415eac-9d5b-4778-844d-10e87a
61,TCGA-A8-A08R-01A-01-MS1.cb32d356-ca60-4eab-b186-b63ed3b941d1,TCGA-A2-A0EW-01A-02-TSB.6ebf62a3-15ec-43dd-a5de-36f0a2effb41,01BR032-08cd7236-e3b2-4ff8-a0e4-a29025
62,TCGA-A8-A08X-01A-01-BS1.e4d6c832-f42b-4a1d-8a98-4fbdb3ce0e2a,TCGA-A2-A0EX-01A-02-MSB.8a884510-c00e-442d-bf13-1eb36f4ee10b,01BR032-26375bc1-4b1c-4156-a5cb-aa50f4
63,TCGA-A8-A08X-01A-02-BS2.4b3c6470-5a74-4ef6-a268-8fdb5b0f02ad,TCGA-A2-A0EX-01A-02-TSB.8880934b-a491-492b-b6bc-32b50276ba99,01BR032-424a92f6-54f7-407c-99e8-5e3396
64,TCGA-A8-A09X-01A-01-BS1.6f6ae7cd-631e-4030-9183-725f5a48c942,TCGA-A2-A0SU-01A-01-BSA.660c932a-61fb-4054-8499-2a39387bf4ab,01BR032-e5e1306b-719e-4c3e-b85b-fd1231
65,TCGA-A8-A09X-01A-01-TS1.d3ba5442-6c1f-4e86-8960-1befbfa026f3,TCGA-A2-A0SU-01A-01-TSA.1501d762-6b57-43d8-b8bb-fe7970b750dd,01BR033-3329b802-e49f-4494-b645-868a25
66,TCGA-A8-A0A7-01A-01-BS1.4a4d1511-7d0f-4482-bd6c-7a1ebbfe2ce6,TCGA-A2-A0SY-01A-03-BSC.111f2ea3-8315-412c-807d-5582f160cb42,01BR033-51169051-52ff-4b66-96a0-86f3f4
67,TCGA-A8-A0A7-01A-01-TS1.dfc11237-aff0-442f-8a39-ce81f0d4aeb1,TCGA-A2-A0SY-01A-03-TSC.19950d5e-98f4-44b2-9f76-0552567e2c9a,01BR033-95c7fa7b-05b5-4b37-be5f-cf882e
68,TCGA-AC-A2BK-01A-01-TS1.6CEB52F7-A30A-4796-A58E-ACF239845153,TCGA-A2-A0T4-01A-03-BSC.c48434f7-8ef4-40e6-b115-87318032046d,01BR033-c646b902-e1e0-4e3e-a4c5-daca71
69,TCGA-AC-A6IW-01A-01-TS1.4DD4F175-C0C7-4B5C-B584-B6F2CBE9C3BF,TCGA-A2-A0T4-01A-03-TSC.60866100-7f22-4c86-a99e-5e52ca53c313,01BR040-4a25e3da-2226-4e23-a595-c11709
70,TCGA-AC-A8OQ-01A-01-TS1.8574E320-4426-48B9-88D7-60AD5EA0A921,TCGA-A2-A0T6-01A-01-BSA.b82fe5ae-dafc-45d6-9410-b6ef20725739,01BR040-4d95198c-ff9e-493d-8c10-106457
71,TCGA-AN-A04C-01A-01-BS1.4f8165fd-0791-4fa6-97ea-66b2b3eb0730,TCGA-A2-A0T6-01A-01-TSA.a91e20c4-e88b-4f25-a691-1ed38fbca876,01BR040-7a6b801c-3099-43ac-bd2b-d2f1c3
72,TCGA-AN-A04C-01A-02-MS2.7bf1ac86-c95d-4e75-8342-04af2b832610,TCGA-A2-A1FV-01A-01-TSA.1ef7e33c-4e9f-46fb-8600-e2028e666b58,01BR040-f9a0cd33-c76c-42ab-8876-c6d26a
73,TCGA-AN-A04D-01A-01-BS1.09ff6422-d5b1-45b0-969a-8f31285e23a9,TCGA-A2-A259-01A-01-TSA.73bdd76e-4e45-4e13-90db-c996e5446c94,01BR042-078b1b83-8390-47aa-a591-ced590
74,TCGA-AN-A04D-01A-02-BS2.5c72d68a-9c0e-4551-bc1f-21f91c168acc,TCGA-A2-A25B-01A-01-TSA.43dd69c3-6ce1-478c-9e4d-ee01974ef7bf,01BR042-1528969
75,TCGA-AN-A0AL-01A-01-BSA.56e46756-aa0f-4c59-a189-ee4c9601b3ea,TCGA-A2-A25E-01A-01-TSA.d01b323d-2c94-4a89-96dc-5c3d7ed76916,01BR042-4df35993-eab6-4289-822c-d77da9
76,TCGA-AN-A0AL-01A-01-TSA.3651da9c-bdad-4944-a3ac-c5bc9754fdeb,TCGA-A2-A3Y0-01A-01-TSA.E893B34E-47F9-4B40-B0AC-3D217F32F614,01BR042-7878626f-34a4-44c1-886c-bcf853
77,TCGA-AN-A0AR-01A-01-BSA.a5a0ea68-b7ce-4a1e-a161-64785d585c60,TCGA-A2-A4RW-01A-02-TSB.32243877-C7DF-4FA5-BCA9-031B6E8F085F,01BR042-7a601630-de0b-4ebd-83e4-8b27b3
78,TCGA-AN-A0AR-01A-01-TSA.8a0c5187-915e-4608-9eed-9ea98f1775ad,TCGA-A7-A13G-01A-01-BS1.0f72aeb4-0052-486f-9305-449200e92028,01BR042-8030facb-2100-4349-9120-3c84a3
79,TCGA-AN-A0AT-01A-01-BSA.a4fc206e-5f94-4eb5-b7ff-78f2013b2ed1,TCGA-A7-A13G-01A-01-TS1.a3f33960-ef9c-4b46-83d2-b08dc677f2bd,01BR042-8e8f8e44-d8ef-49de-9d4e-da6e3f
80,TCGA-AN-A0AT-01A-01-TSA.0147607c-ae77-4449-a80a-1610d2657e82,TCGA-A7-A3IY-01A-02-TSB.6F9F17E8-548D-4FCA-83D8-1E3C62882BF5,01BR042-c42470e1-a0c6-418a-9c8f-4f6e4e
81,TCGA-AN-A0FL-01A-01-BSA.78d30e6e-2bd3-439c-8063-5ca6a09828cc,TCGA-A7-A3J0-01A-01-TSA.B5370575-81BF-4A6F-9701-BD12587AE98C,01BR042-c8cecb9a-3c9f-4fe9-97a4-00400f
82,TCGA-AN-A0FL-01A-01-TSA.a9270e98-40e9-45f5-935a-681708f170c9,TCGA-A7-A426-01A-02-TSB.F4C4E7A7-98C9-44AA-8D15-A9A75D414482,01BR042-de60c13a-d8b5-4476-ac87-ea1e05
83,TCGA-AN-A0FV-01A-01-BSA.622ce693-86d1-4d9a-99e1-017e08788f49,TCGA-A7-A4SB-01A-02-TSB.C5F241F1-8E0C-46A9-96CF-17AC925C51AC,01BR043-fcb8ec43-9ac0-44d6-a9af-d5affd
84,TCGA-AN-A0FV-01A-01-TSA.7c295633-8765-4219-907e-17b329046d86,TCGA-A8-A06O-01A-01-BS1.7234aaa1-d5b0-41e1-a65a-8011581f6073,01BR043-a51548ca-b056-4218-bf6e-53cf5a
85,TCGA-AN-A0G0-01A-01-BS1.1b064e65-a34a-472d-af40-17029cb2e05d,TCGA-A8-A06O-01A-01-TS1.c6bc9018-5000-4232-b406-8bd4d515f473,01BR043-c4015b28-269b-4dc4-8b2e-1b83f7
86,TCGA-AN-A0G0-01A-01-TS1.35437324-f765-4522-aea3-c564491b948f,TCGA-A8-A06T-01A-01-BS1.288263c3-b0ed-4b09-baba-f44f099ec7b3,03BR002-837e179b-3840-4aed-a62f-e3073a
87,TCGA-AN-A0XN-01A-02-BSB.2ffff1fb-5f41-4d87-854b-ff38bfd677a0,TCGA-A8-A06T-01A-01-TS1.c5584b57-d2a6-45dc-aebb-33f801b5a3f0,03BR002-5043d744-7068-49a5-bab0-bf3524
88,TCGA-AN-A0XN-01A-02-TSB.9df84504-2154-4f54-96f8-273ad703f0f0,TCGA-A8-A06U-01A-01-BS1.1182603b-20e7-4a0e-a686-055841cf5ca4,03BR002-ca576d30-be91-4bf5-a31d-80f7eb
89,TCGA-AN-A0XS-01A-02-BSB.cff535fb-0ae9-402b-97ab-5c6cd09a9959,TCGA-A8-A06Y-01A-01-BS1.69eb0a92-553f-49ee-a172-7ce427e7b151,03BR004-4683de9c-49ca-4ddd-9d1a-be8121
90,TCGA-AN-A0XS-01A-02-TSB.e4dcda3e-ae36-4d58-a0b5-6cb2fc772601,TCGA-A8-A06Y-01A-02-BS2.2c1965cc-99ae-48ee-8abd-5d0ae6727a33,03BR004-6de0c179-e588-4cfc-9f37-04ae93
91,TCGA-AO-A0J2-01A-01-BSA.74fa8ced-1f57-44bb-af80-97f3136ef201,TCGA-A8-A081-01A-01-BS1.e32b7065-c27c-48dc-bfc1-97ec920ee1a4,03BR004-fb43e8d5-50ba-48ec-b2cd-808796
92,TCGA-AO-A0J2-01A-01-TSA.4ba30dc7-d042-4730-b197-95684549adba,TCGA-A8-A081-01A-01-TS1.83c4b643-47aa-4bfb-b116-0fd0146e4fc5,03BR005-7bd93924-407e-4d65-b595-b9b8f2
93,TCGA-AO-A0J4-01A-01-BSA.9ab812d5-7e5e-4955-a041-052fa71325b8,TCGA-A8-A08F-01A-01-BS1.efa980a8-9019-4413-94a1-72f68fe860e9,03BR005-96c95de1-514b-44a5-b487-dc390b
94,TCGA-AO-A0J4-01A-01-TSA.b019ef9d-8bd3-48cf-acd5-d52ae474e0d1,TCGA-A8-A08F-01A-01-TS1.e2b24767-1df7-431b-bba2-45d1b4e767d8,03BR006-071be0fb-b7fd-4165-b3c5-348352
95,TCGA-AO-A0JE-01A-01-BSA.8f04fdde-1427-45f9-bcd9-4449d501c109,TCGA-A8-A08H-01A-01-BS1.ec8e361e-ad57-4505-8cee-f897eca575c5,03BR006-b3160d68-1004-43fb-a2d6-d114a3
96,TCGA-AO-A0JE-01A-01-TSA.2ade56dd-a085-472b-b92c-c7a63d7ce4ac,TCGA-A8-A08H-01A-02-BS2.26653396-4d2c-4614-9cb1-244e7d4fdfae,03BR006-beaecafd-0aa8-40bb-8696-eb6ad8
97,TCGA-AO-A0JL-01A-01-BSA.796a85da-b722-4311-89f8-8b397ea10c85,TCGA-A8-A094-01A-01-BS1.f21f55c9-cd4c-4677-ba95-bfe2e6a5ee0d,03BR010-75d60147-1986-49da-a10a-d459e3
98,TCGA-AO-A0JL-01A-01-TSA.b6151e7a-75be-425c-b9b0-d93111659ce9,TCGA-A8-A094-01A-01-TS1.f4ebf386-f3b5-4bd4-8cb5-64c14fe6bc94,03BR010-cc240346-44dd-4d54-baf7-aa97eb
99,TCGA-AO-A124-01A-01-BSA.0770840e-d781-45f2-bbc8-034f0e4138a5,TCGA-A8-A09G-01A-01-BS1.d16e6e1e-268a-4973-97c5-8aa9cdef622b,03BR010-49f55bd6-a89a-4d18-b732-139c3d
100,TCGA-AO-A124-01A-01-TSA.ace4fa54-5ef0-4cb9-85be-8c7680889278,TCGA-A8-A09G-01A-02-BS2.e110bb6c-7c19-4ace-9507-14ef5714a74d,03BR010-cdde7b93-8293-48a9-9c70-7935c5
101,TCGA-AO-A128-01A-01-BSA.9019856f-fe50-42af-8588-b73395fc0165,TCGA-A8-A09T-01A-01-BS1.ea346b92-4ab8-40b7-a058-681a2a269463,03BR011-60c8c914-f53d-4f72-a1ce-5fb803
102,TCGA-AO-A128-01A-01-TSA.6bd59663-0c98-4fd6-8b4a-87b47541e08b,TCGA-A8-A09T-01A-01-TS1.46733e61-04d6-4b8f-97ba-d115e9208e9b,03BR011-3a210a6b-bdf1-4407-94c8-7bb085
103,TCGA-AO-A129-01A-02-BSB.a781dca2-08b1-46a7-a7c9-7c2944546e58,TCGA-AC-A23C-01A-01-TSA.8c21e006-e57c-43d9-afb3-2503b80c5e41,03BR011-b974c340-0da5-49b2-a12e-c2928c
104,TCGA-AO-A129-01A-02-TSB.427ec681-3c44-4d87-bfe5-525df3ade7f2,TCGA-AC-A23E-01A-01-TSA.e43478f1-47e9-4b9c-8506-1978e481de57,03BR011-c21c52d9-2a66-4c6d-aa1b-f950ef
105,TCGA-AO-A12D-01A-01-BSA.e75eaf83-11b8-49a2-b6b1-77f98fa6660a,TCGA-AC-A2FK-01A-01-TS1.807C5D36-7171-495C-B6AB-8951B77EAD21,03BR013-d0dd0347-9b0f-46fe-8d62-bf17f3
106,TCGA-AO-A12D-01A-01-TSA.f28ffd60-5d5f-4fec-8776-bf587f1f2496,TCGA-AC-A3TN-01A-01-TS1.3A67E6A5-80D8-48BB-9D1B-8BC3F38B5739,03BR013-01f203fd-e664-4d78-bea0-7c40cf
107,TCGA-AO-A12F-01A-01-BSA.54904b26-0053-4e3e-8f3e-dd67ed8194a5,TCGA-AC-A3W6-01A-01-TSA.AF989587-1EF9-48A3-8055-B45BDFDB81FA,03BR013-1a268199-96e4-486b-a7ec-95344c
108,TCGA-AO-A12F-01A-01-TSA.6ed8979a-e4f3-42b1-950f-64908238f50b,TCGA-AC-A6IV-01A-01-TS1.7FBB836B-E6D5-4883-B323-0D6DE3AD8FF5,03BR013-bf51b8a5-c19d-48b7-9bd6-371258
